"Name","Type","Category","Power","Accuracy","PP","Priority","Effect","EffectChance","MinHits","MaxHits","Target","Contact","Sound","Punch","Bite","Pulse","Bullet","Slicing","Recoil"
"shore-up","ground","status","","","8","0","Heals the user for ½ its max HP, or ⅔ during a sandstorm.","","","","user","","","","","","","",""
"signal-beam","bug","special","75","100","16","0","Has a $effect_chance% chance to confuse the target.","10","","","selected-pokemon","","","","","","","",""
"silk-trap","bug","status","0","","12","4","","","","","user","","","","","","","",""
"silver-wind","bug","special","60","100","8","0","Has a $effect_chance% chance to raise all of the user’s stats by one stage.","10","","","selected-pokemon","","","","","","","",""
"simple-beam","normal","status","","100","16","0","Changes the target’s ability to Simple.","","","","selected-pokemon","","","","","","","",""
"sing","normal","status","","55","16","0","Puts the target to sleep.","","","","selected-pokemon","","","","","","","",""
"sinister-arrow-raid","ghost","physical","180","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"sizzly-slide","fire","physical","60","100","20","0","Inflicts regular damage with no additional effect.","100","","","selected-pokemon","","","","","","","",""
"sketch","normal","status","","","1","0","Permanently becomes the target’s last used move.","","","","selected-pokemon","","","","","","","",""
"skill-swap","psychic","status","","","12","0","User and target swap abilities.","","","","selected-pokemon","","","","","","","",""
"skitter-smack","bug","physical","70","90","12","0","Inflicts regular damage with no additional effect.","100","","","selected-pokemon","","","","","","","",""
"skull-bash","normal","physical","130","100","12","0","Raises the user’s Defense by one stage.  User charges for one turn before attacking.","100","","","selected-pokemon","","","","","","","",""
"sky-attack","flying","physical","140","90","8","0","User charges for one turn before attacking.  Has a $effect_chance% chance to make the target flinch.","30","","","selected-pokemon","","","","","","","",""
"sky-drop","flying","physical","60","100","12","0","Carries the target high into the air, dodging all attacks against either, and drops it next turn.","","","","selected-pokemon","","","","","","","",""
"sky-uppercut","fighting","physical","85","90","16","0","Inflicts regular damage and can hit Bounce and Fly users.","","","","selected-pokemon","","","","","","","",""
"slack-off","normal","status","","","8","0","Heals the user by half its max HP.","","","","user","","","","","","","",""
"slam","normal","physical","80","75","20","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"slash","normal","physical","70","100","20","0","Has an increased chance for a critical hit.","","","","selected-pokemon","","","","","","","",""
"sleep-powder","grass","status","","75","16","0","Puts the target to sleep.","","","","selected-pokemon","","","","","","","",""
"sleep-talk","normal","status","","","12","0","Randomly uses one of the user’s other three moves.  Only works if the user is sleeping.","","","","user","","","","","","","",""
"sludge","poison","special","65","100","20","0","Has a $effect_chance% chance to poison the target.","30","","","selected-pokemon","","","","","","","",""
"sludge-bomb","poison","special","90","100","12","0","Has a $effect_chance% chance to poison the target.","30","","","selected-pokemon","","","","","","","",""
"sludge-wave","poison","special","95","100","12","0","Has a $effect_chance% chance to poison the target.","10","","","all-other-pokemon","","","","","","","",""
"smack-down","rock","physical","50","100","16","0","Removes any immunity to Ground damage.","100","","","selected-pokemon","","","","","","","",""
"smart-strike","steel","physical","70","","12","0","Never misses.","","","","selected-pokemon","","","","","","","",""
"smelling-salts","normal","physical","70","100","12","0","If the target is paralyzed, inflicts double damage and cures the paralysis.","","","","selected-pokemon","","","","","","","",""
"smog","poison","special","30","70","20","0","Has a $effect_chance% chance to poison the target.","40","","","selected-pokemon","","","","","","","",""
"smokescreen","normal","status","","100","20","0","Lowers the target’s accuracy by one stage.","","","","selected-pokemon","","","","","","","",""
"snap-trap","grass","physical","35","100","16","0","Prevents the target from fleeing and inflicts damage for 2-5 turns.","100","","","selected-pokemon","","","","","","","",""
"snarl","dark","special","55","95","16","0","Has a $effect_chance% chance to lower the target’s Special Attack by one stage.","100","","","all-opponents","","","","","","","",""
"snatch","dark","status","","","12","4","Steals the target’s move, if it’s self-targeted.","","","","user","","","","","","","",""
"snipe-shot","water","special","80","100","16","0","Sets Reflect on the user’s side of the field after inflicting damage.","","","","selected-pokemon","","","","","","","",""
"snore","normal","special","50","100","16","0","Has a $effect_chance% chance to make the target flinch.  Only works if the user is sleeping.","30","","","selected-pokemon","","","","","","","",""
"snowscape","ice","status","0","","12","0","","","","","entire-field","","","","","","","",""
"soak","water","status","","100","20","0","Changes the target’s type to Water.","","","","selected-pokemon","","","","","","","",""
"soft-boiled","normal","status","","","8","0","Heals the user by half its max HP.","","","","user","","","","","","","",""
"solar-beam","grass","special","120","100","12","0","Requires a turn to charge before attacking.","","","","selected-pokemon","","","","","","","",""
"solar-blade","grass","physical","125","100","12","0","Requires a turn to charge before attacking.","","","","selected-pokemon","","","","","","","",""
"sonic-boom","normal","special","","90","20","0","Inflicts 20 points of damage.","","","","selected-pokemon","","","","","","","",""
"soul-stealing-7-star-strike","ghost","physical","195","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"spacial-rend","dragon","special","100","95","8","0","Has an increased chance for a critical hit.","","","","selected-pokemon","","","","","","","",""
"spark","electric","physical","65","100","20","0","Has a $effect_chance% chance to paralyze the target.","30","","","selected-pokemon","","","","","","","",""
"sparkling-aria","water","special","90","100","12","0","Cures the target of burns.","","","","all-other-pokemon","","","","","","","",""
"sparkly-swirl","fairy","special","120","85","8","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"spectral-thief","ghost","physical","90","100","12","0","Steals the target’s stat increases, then inflicts damage.","","","","selected-pokemon","","","","","","","",""
"speed-swap","psychic","status","","","12","0","Exchanges the user’s Speed with the target’s.","","","","selected-pokemon","","","","","","","",""
"spicy-extract","grass","status","0","","16","0","","","","","selected-pokemon","","","","","","","",""
"spider-web","bug","status","","","12","0","Prevents the target from leaving battle.","","","","selected-pokemon","","","","","","","",""
"spike-cannon","normal","physical","20","100","16","0","Hits 2-5 times in one turn.","","2","5","selected-pokemon","","","","","","","",""
"spikes","ground","status","","","20","0","Scatters Spikes, hurting opposing Pokémon that switch in.","","","","opponents-field","","","","","","","",""
"spiky-shield","grass","status","","","12","4","Blocks damaging attacks and damages attacking Pokémon for 1/8 their max HP.","","","","user","","","","","","","",""
"spin-out","steel","physical","100","100","8","0","","","","","selected-pokemon","","","","","","","",""
"spirit-break","fairy","physical","75","100","16","0","Has a $effect_chance% chance to lower the target’s Special Attack by one stage.","100","","","selected-pokemon","","","","","","","",""
"spirit-shackle","ghost","physical","90","100","12","0","Traps the target.","","","","selected-pokemon","","","","","","","",""
"spit-up","normal","special","","100","12","0","Power is 100 times the amount of energy Stockpiled.","","","","selected-pokemon","","","","","","","",""
"spite","ghost","status","","100","12","0","Lowers the PP of the target’s last used move by 4.","","","","selected-pokemon","","","","","","","",""
"splash","normal","status","","","20","0","Does nothing.","","","","user","","","","","","","",""
"splintered-stormshards","rock","physical","190","","1","0","Inflicts damage and removes any terrain present on the battlefield.","","","","selected-pokemon","","","","","","","",""
"splishy-splash","water","special","90","100","16","0","Inflicts regular damage with no additional effect.","30","","","all-opponents","","","","","","","",""
"spore","grass","status","","100","16","0","Puts the target to sleep.","","","","selected-pokemon","","","","","","","",""
"spotlight","normal","status","","","16","3","Forces the target’s opponents to aim at the target for the rest of the turn.","","","","selected-pokemon","","","","","","","",""
"springtide-storm","fairy","special","100","80","8","0","","","","","all-opponents","","","","","","","",""
"stealth-rock","rock","status","","","20","0","Causes damage when opposing Pokémon switch in.","","","","opponents-field","","","","","","","",""
"steam-eruption","water","special","110","95","8","0","Has a $effect_chance% chance to burn the target.","30","","","selected-pokemon","","","","","","","",""
"steamroller","bug","physical","65","100","20","0","Has a $effect_chance% chance to make the target flinch.","30","","","selected-pokemon","","","","","","","",""
"steel-beam","steel","special","140","95","8","0","Inflicts damage, and the user takes damage equal to half of its max HP, rounded up.","","","","selected-pokemon","","","","","","","",""
"steel-roller","steel","physical","130","100","8","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"steel-wing","steel","physical","70","90","20","0","Has a 10% chance to raise the user’s Defense by one stage.","10","","","selected-pokemon","","","","","","","",""
"sticky-web","bug","status","","","20","0","Covers the opposing field, lowering opponents’ Speed by one stage upon switching in.","","","","opponents-field","","","","","","","",""
"stockpile","normal","status","","","20","0","Stores energy up to three times for use with Spit Up and Swallow.","","","","user","","","","","","","",""
"stoked-sparksurfer","electric","special","175","","1","0","Has a $effect_chance% chance to paralyze the target.","100","","","selected-pokemon","","","","","","","",""
"stomp","normal","physical","65","100","20","0","Has a $effect_chance% chance to make the target flinch.","30","","","selected-pokemon","","","","","","","",""
"stomping-tantrum","ground","physical","75","100","12","0","Has double power if the user’s last move failed.","","","","selected-pokemon","","","","","","","",""
"stone-axe","rock","physical","65","90","16","0","","","","","selected-pokemon","","","","","","","",""
"stone-edge","rock","physical","100","80","8","0","Has an increased chance for a critical hit.","","","","selected-pokemon","","","","","","","",""
"stored-power","psychic","special","20","100","12","0","Power is higher the more the user’s stats have been raised, to a maximum of 31×.","","","","selected-pokemon","","","","","","","",""
"storm-throw","fighting","physical","60","100","12","0","Always scores a critical hit.","","","","selected-pokemon","","","","","","","",""
"strange-steam","fairy","special","90","95","12","0","Has a $effect_chance% chance to confuse the target.","20","","","selected-pokemon","","","","","","","",""
"strength","normal","physical","80","100","16","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"strength-sap","grass","status","","100","12","0","Heals the user by the target’s current Attack stat and lowers the target’s Attack by one stage.","100","","","selected-pokemon","","","","","","","",""
"string-shot","bug","status","","95","20","0","Lowers the target’s Speed by two stages.","","","","all-opponents","","","","","","","",""
"struggle","normal","physical","50","","1","0","User takes 1/4 its max HP in recoil.","","","","random-opponent","","","","","","","",""
"struggle-bug","bug","special","50","100","20","0","Has a $effect_chance% chance to lower the target’s Special Attack by one stage.","100","","","all-opponents","","","","","","","",""
"stuff-cheeks","normal","status","","","12","0","Cures the entire party of major status effects after inflicting damage.","100","","","user","","","","","","","",""
"stun-spore","grass","status","","75","20","0","Paralyzes the target.","","","","selected-pokemon","","","","","","","",""
"submission","fighting","physical","80","80","20","0","User receives 1/4 the damage it inflicts in recoil.","","","","selected-pokemon","","","","","","","",""
"substitute","normal","status","","","12","0","Transfers 1/4 of the user’s max HP into a doll, protecting the user from further damage or status changes until it breaks.","","","","user","","","","","","","",""
"subzero-slammer--special","ice","special","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"subzero-slammer--physical","ice","physical","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"sucker-punch","dark","physical","70","100","8","1","Only works if the target is about to use a damaging move.","","","","selected-pokemon","","","","","","","",""
"sunny-day","fire","status","","","8","0","Changes the weather to sunny for five turns.","","","","entire-field","","","","","","","",""
"sunsteel-strike","steel","physical","100","100","8","0","Cannot be disrupted by abilities.","","","","selected-pokemon","","","","","","","",""
"super-fang","normal","physical","","90","12","0","Inflicts damage equal to half the target’s HP.","","","","selected-pokemon","","","","","","","",""
"supercell-slam","electric","physical","100","95","16","0","","","","","selected-pokemon","","","","","","","",""
"superpower","fighting","physical","120","100","8","0","Lowers the user’s Attack and Defense by one stage after inflicting damage.","100","","","selected-pokemon","","","","","","","",""
"supersonic","normal","status","","55","20","0","Confuses the target.","","","","selected-pokemon","","","","","","","",""
"supersonic-skystrike--special","flying","special","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"supersonic-skystrike--physical","flying","physical","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"surf","water","special","90","100","16","0","Inflicts regular damage and can hit Dive users.","","","","all-other-pokemon","","","","","","","",""
"surging-strikes","water","physical","25","100","8","0","Inflicts regular damage with no additional effect.","","3","3","selected-pokemon","","","","","","","",""
"swagger","normal","status","","85","16","0","Raises the target’s Attack by two stages and confuses the target.","","","","selected-pokemon","","","","","","","",""
"swallow","normal","status","","","12","0","Recovers 1/4 HP after one Stockpile, 1/2 HP after two Stockpiles, or full HP after three Stockpiles.","","","","user","","","","","","","",""
"sweet-kiss","fairy","status","","75","12","0","Confuses the target.","","","","selected-pokemon","","","","","","","",""
"sweet-scent","normal","status","","100","20","0","Lowers the target’s evasion by one stage.","","","","all-opponents","","","","","","","",""
"swift","normal","special","60","","20","0","Never misses.","","","","all-opponents","","","","","","","",""
"switcheroo","dark","status","","100","12","0","User and target swap items.","","","","selected-pokemon","","","","","","","",""
"swords-dance","normal","status","","","20","0","Raises the user’s Attack by two stages.","","","","user","","","","","","","",""
"synchronoise","psychic","special","120","100","12","0","Hits any Pokémon that shares a type with the user.","","","","all-other-pokemon","","","","","","","",""
"synthesis","grass","status","","","8","0","Heals the user by half its max HP.  Affected by weather.","","","","user","","","","","","","",""
"syrup-bomb","grass","special","60","90","12","0","","","","","selected-pokemon","","","","","","","",""
"tachyon-cutter","steel","special","50","0","12","0","","","","","selected-pokemon","","","","","","","",""
"tackle","normal","physical","40","100","20","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"tail-glow","bug","status","","","20","0","Raises the user’s Special Attack by three stages.","","","","user","","","","","","","",""
"tail-slap","normal","physical","25","85","12","0","Hits 2-5 times in one turn.","","2","5","selected-pokemon","","","","","","","",""
"tail-whip","normal","status","","100","20","0","Lowers the target’s Defense by one stage.","","","","all-opponents","","","","","","","",""
"tailwind","flying","status","","","16","0","For three turns, friendly Pokémon have doubled Speed.","","","","users-field","","","","","","","",""
"take-down","normal","physical","90","85","20","0","User receives 1/4 the damage it inflicts in recoil.","","","","selected-pokemon","","","","","","","",""
"take-heart","psychic","status","0","","12","0","","","","","all-allies","","","","","","","",""
"tar-shot","rock","status","","100","16","0","","100","","","selected-pokemon","","","","","","","",""
"taunt","dark","status","","100","20","0","For the next few turns, the target can only use damaging moves.","","","","selected-pokemon","","","","","","","",""
"tearful-look","normal","status","","","20","0","Lowers the target’s Attack and Special Attack by one stage.","100","","","selected-pokemon","","","","","","","",""
"teatime","normal","status","","","12","0","","","","","all-pokemon","","","","","","","",""
"techno-blast","normal","special","120","100","8","0","If the user is holding a appropriate plate or drive, the damage inflicted will match it.","","","","selected-pokemon","","","","","","","",""
"tectonic-rage--special","ground","special","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"tectonic-rage--physical","ground","physical","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"teeter-dance","normal","status","","100","20","0","Confuses the target.","","","","all-other-pokemon","","","","","","","",""
"telekinesis","psychic","status","","","16","0","Moves have 100% accuracy against the target for three turns.","","","","selected-pokemon","","","","","","","",""
"teleport","psychic","status","","","20","-6","Immediately ends wild battles.  No effect otherwise.","","","","user","","","","","","","",""
"temper-flare","fire","physical","75","100","12","0","","","","","selected-pokemon","","","","","","","",""
"tera-blast","normal","special","80","100","12","0","","","","","selected-pokemon","","","","","","","",""
"tera-starstorm","normal","special","120","100","8","0","","","","","all-opponents","","","","","","","",""
"terrain-pulse","normal","special","50","100","12","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"thief","dark","physical","60","100","20","0","Takes the target’s item.","","","","selected-pokemon","","","","","","","",""
"thousand-arrows","ground","physical","90","100","12","0","Grounds the target, and hits even Flying-type or levitating Pokémon.","100","","","all-opponents","","","","","","","",""
"thousand-waves","ground","physical","90","100","12","0","Prevents the target from leaving battle.","","","","all-opponents","","","","","","","",""
"thrash","normal","physical","120","100","12","0","Hits every turn for 2-3 turns, then confuses the user.","","","","random-opponent","","","","","","","",""
"throat-chop","dark","physical","80","100","16","0","Prevents the target from using sound-based moves for two turns.","100","","","selected-pokemon","","","","","","","",""
"thunder","electric","special","110","70","12","0","Has a $effect_chance% chance to paralyze the target.","30","","","selected-pokemon","","","","","","","",""
"thunder-cage","electric","special","80","90","16","0","Inflicts regular damage with no additional effect.","100","","","selected-pokemon","","","","","","","",""
"thunder-fang","electric","physical","65","95","16","0","Has a $effect_chance% chance to paralyze the target and a $effect_chance% chance to make the target flinch.","10","","","selected-pokemon","","","","","","","",""
"thunder-punch","electric","physical","75","100","16","0","Has a $effect_chance% chance to paralyze the target.","10","","","selected-pokemon","","","","","","","",""
"thunder-shock","electric","special","40","100","20","0","Has a $effect_chance% chance to paralyze the target.","10","","","selected-pokemon","","","","","","","",""
"thunder-wave","electric","status","","90","20","0","Paralyzes the target.","","","","selected-pokemon","","","","","","","",""
"thunderbolt","electric","special","90","100","16","0","Has a $effect_chance% chance to paralyze the target.","10","","","selected-pokemon","","","","","","","",""
"thunderclap","electric","special","70","100","8","1","","","","","selected-pokemon","","","","","","","",""
"thunderous-kick","fighting","physical","90","100","12","0","Inflicts regular damage with no additional effect.","100","","","selected-pokemon","","","","","","","",""
"tickle","normal","status","","100","20","0","Lowers the target’s Attack and Defense by one stage.","","","","selected-pokemon","","","","","","","",""
"tidy-up","normal","status","0","","12","0","","","","","user","","","","","","","",""
"topsy-turvy","dark","status","","","20","0","Inverts the target’s stat modifiers.","","","","selected-pokemon","","","","","","","",""
"torch-song","fire","special","80","100","12","0","","","","","selected-pokemon","","","","","","","",""
"torment","dark","status","","100","16","0","Prevents the target from using the same move twice in a row.","","","","selected-pokemon","","","","","","","",""
"toxic","poison","status","","90","12","0","Badly poisons the target, inflicting more damage every turn.","","","","selected-pokemon","","","","","","","",""
"toxic-spikes","poison","status","","","20","0","Scatters poisoned spikes, poisoning opposing Pokémon that switch in.","","","","opponents-field","","","","","","","",""
"toxic-thread","poison","status","","100","20","0","Poisons the target and lowers its Speed by one stage.","100","","","selected-pokemon","","","","","","","",""
"trailblaze","grass","physical","50","100","20","0","","","","","selected-pokemon","","","","","","","",""
"transform","normal","status","","","12","0","User becomes a copy of the target until it leaves battle.","","","","selected-pokemon","","","","","","","",""
"tri-attack","normal","special","80","100","12","0","Has a $effect_chance% chance to burn, freeze, or paralyze the target.","20","","","selected-pokemon","","","","","","","",""
"trick","psychic","status","","100","12","0","User and target swap items.","","","","selected-pokemon","","","","","","","",""
"trick-room","psychic","status","","","8","-7","For five turns, slower Pokémon will act before faster Pokémon.","","","","entire-field","","","","","","","",""
"trick-or-treat","ghost","status","","100","20","0","Adds ghost to the target’s types.","","","","selected-pokemon","","","","","","","",""
"triple-arrows","fighting","physical","90","100","12","0","","","","","selected-pokemon","","","","","","","",""
"triple-axel","ice","physical","20","90","12","0","Inflicts regular damage with no additional effect.","","3","3","selected-pokemon","","","","","","","",""
"triple-dive","water","physical","30","95","12","0","","","","","selected-pokemon","","","","","","","",""
"triple-kick","fighting","physical","10","90","12","0","Hits three times, increasing power by 100% with each successful hit.","","3","3","selected-pokemon","","","","","","","",""
"trop-kick","grass","physical","85","100","16","0","Lowers the target’s Attack by one stage after inflicting damage.","100","","","selected-pokemon","","","","","","","",""
"trump-card","normal","special","","","8","0","Power increases when this move has less PP, up to a maximum of 200.","","","","selected-pokemon","","","","","","","",""
"twin-beam","psychic","special","40","100","12","0","","","","","selected-pokemon","","","","","","","",""
"twineedle","bug","physical","25","100","20","0","Hits twice in the same turn.  Has a $effect_chance% chance to poison the target.","20","2","2","selected-pokemon","","","","","","","",""
"twinkle-tackle--physical","fairy","physical","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"twinkle-tackle--special","fairy","special","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"twister","dragon","special","40","100","20","0","Has a $effect_chance% chance to make the target flinch.","20","","","all-opponents","","","","","","","",""
"u-turn","bug","physical","70","100","20","0","User must switch out after attacking.","","","","selected-pokemon","","","","","","","",""
"upper-hand","fighting","physical","65","100","16","3","","","","","selected-pokemon","","","","","","","",""
"uproar","normal","special","90","100","12","0","Forced to use this move for several turns.  Pokémon cannot fall asleep in that time.","","","","random-opponent","","","","","","","",""
"v-create","fire","physical","180","95","8","0","Lowers the user’s Defense, Special Defense, and Speed by one stage each.","100","","","selected-pokemon","","","","","","","",""
"vacuum-wave","fighting","special","40","100","20","1","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"veevee-volley","normal","physical","","","20","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"venom-drench","poison","status","","100","20","0","Lowers the target’s Attack, Special Attack, and Speed by one stage if it is poisoned.","100","","","all-opponents","","","","","","","",""
"venoshock","poison","special","65","100","12","0","Inflicts double damage if the target is Poisoned.","","","","selected-pokemon","","","","","","","",""
"victory-dance","fighting","status","0","","12","0","","","","","user","","","","","","","",""
"vine-whip","grass","physical","45","100","20","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"vice-grip","normal","physical","55","100","20","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"vital-throw","fighting","physical","70","","12","-1","Never misses.","","","","selected-pokemon","","","","","","","",""
"volt-switch","electric","special","70","100","20","0","User must switch out after attacking.","","","","selected-pokemon","","","","","","","",""
"volt-tackle","electric","physical","120","100","16","0","User takes 1/3 the damage inflicted in recoil.  Has a $effect_chance% chance to paralyze the target.","10","","","selected-pokemon","","","","","","","",""
"wake-up-slap","fighting","physical","70","100","12","0","If the target is asleep, has double power and wakes it up.","","","","selected-pokemon","","","","","","","",""
"water-gun","water","special","40","100","20","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"water-pledge","water","special","80","100","12","0","With Grass Pledge, halves opposing Pokémon’s Speed for four turns.","","","","selected-pokemon","","","","","","","",""
"water-pulse","water","special","60","100","20","0","Has a $effect_chance% chance to confuse the target.","20","","","selected-pokemon","","","","","","","",""
"water-shuriken","water","special","15","100","20","1","Hits 2–5 times.","","2","5","selected-pokemon","","","","","","","",""
"water-sport","water","status","","","16","0","Halves all Fire-type damage.","","","","entire-field","","","","","","","",""
"water-spout","water","special","150","100","8","0","Inflicts more damage when the user has more HP remaining, with a maximum of 150 power.","","","","all-opponents","","","","","","","",""
"waterfall","water","physical","80","100","16","0","Has a $effect_chance% chance to make the target flinch.","20","","","selected-pokemon","","","","","","","",""
"wave-crash","water","physical","120","100","12","0","","","","","selected-pokemon","","","","","","","",""
"weather-ball","normal","special","50","100","12","0","If there be weather, this move has doubled power and the weather’s type.","","","","selected-pokemon","","","","","","","",""
"whirlpool","water","special","35","85","16","0","Prevents the target from leaving battle and inflicts 1/16 its max HP in damage for 2-5 turns.","100","","","selected-pokemon","","","","","","","",""
"whirlwind","normal","status","","","20","-6","Immediately ends wild battles.  Forces trainers to switch Pokémon.","","","","selected-pokemon","","","","","","","",""
"wicked-blow","dark","physical","75","100","8","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"wicked-torque","dark","physical","80","100","12","0","","","","","selected-pokemon","","","","","","","",""
"wide-guard","rock","status","","","12","3","Prevents any multi-target moves from hitting friendly Pokémon this turn.","","","","users-field","","","","","","","",""
"wild-charge","electric","physical","90","100","16","0","User receives 1/4 the damage it inflicts in recoil.","","","","selected-pokemon","","","","","","","",""
"wildbolt-storm","electric","special","100","80","12","0","","","","","all-opponents","","","","","","","",""
"will-o-wisp","fire","status","","85","16","0","Burns the target.","","","","selected-pokemon","","","","","","","",""
"wing-attack","flying","physical","60","100","20","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"wish","normal","status","","","12","0","User will recover half its max HP at the end of the next turn.","","","","user","","","","","","","",""
"withdraw","water","status","","","20","0","Raises the user’s Defense by one stage.","","","","user","","","","","","","",""
"wonder-room","psychic","status","","","12","0","All Pokémon’s Defense and Special Defense are swapped for 5 turns.","","","","entire-field","","","","","","","",""
"wood-hammer","grass","physical","120","100","16","0","User receives 1/3 the damage inflicted in recoil.","","","","selected-pokemon","","","","","","","",""
"work-up","normal","status","","","20","0","Raises the user’s Attack and Special Attack by one stage each.","","","","user","","","","","","","",""
"worry-seed","grass","status","","100","12","0","Changes the target’s ability to Insomnia.","","","","selected-pokemon","","","","","","","",""
"wrap","normal","physical","15","90","20","0","Prevents the target from fleeing and inflicts damage for 2-5 turns.","100","","","selected-pokemon","","","","","","","",""
"wring-out","normal","special","","100","8","0","Power increases against targets with more HP remaining, up to a maximum of 121 power.","","","","selected-pokemon","","","","","","","",""
"x-scissor","bug","physical","80","100","16","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"yawn","normal","status","","","12","0","Target sleeps at the end of the next turn.","","","","selected-pokemon","","","","","","","",""
"zap-cannon","electric","special","120","50","8","0","Has a $effect_chance% chance to paralyze the target.","100","","","selected-pokemon","","","","","","","",""
"zen-headbutt","psychic","physical","80","90","16","0","Has a $effect_chance% chance to make the target flinch.","20","","","selected-pokemon","","","","","","","",""
"zing-zap","electric","physical","80","100","12","0","Has a $effect_chance% chance to make the target flinch.","30","","","selected-pokemon","","","","","","","",""
"zippy-zap","electric","physical","80","100","12","2","Inflicts regular damage with no additional effect.","100","","","selected-pokemon","","","","","","","",""
